status,variant_id,sku,message,error
updated,48588076155145,AUTOSKU-0000002V,SKU updated,
updated,48588076187913,AUTOSKU-0000002W,SKU updated,
updated,48588076220681,AUTOSKU-0000002X,SKU updated,
updated,48588076253449,AUTOSKU-0000002Y,SKU updated,
updated,48588076286217,AUTOSKU-0000002Z,SKU updated,
updated,48588076318985,AUTOSKU-00000030,SKU updated,
updated,48588076351753,AUTOSKU-00000031,SKU updated,
updated,48588076384521,AUTOSKU-00000032,SKU updated,
updated,48588076417289,AUTOSKU-00000033,SKU updated,
updated,48588076450057,AUTOSKU-00000034,SKU updated,
updated,48588076482825,AUTOSKU-00000035,SKU updated,
updated,48588076515593,AUTOSKU-00000036,SKU updated,
updated,48588076548361,AUTOSKU-00000037,SKU updated,
updated,48588076581129,AUTOSKU-00000038,SKU updated,
updated,48588076613897,AUTOSKU-00000039,SKU updated,
updated,48588076646665,AUTOSKU-0000003A,SKU updated,
updated,48588076679433,AUTOSKU-0000003B,SKU updated,
updated,48588076712201,AUTOSKU-0000003C,SKU updated,
updated,48588076744969,AUTOSKU-0000003D,SKU updated,
updated,48588076777737,AUTOSKU-0000003E,SKU updated,
updated,48588076810505,AUTOSKU-0000003F,SKU updated,
updated,48588076843273,AUTOSKU-0000003G,SKU updated,
updated,48588076876041,AUTOSKU-0000003H,SKU updated,
updated,48588076908809,AUTOSKU-0000003I,SKU updated,
updated,48588076941577,AUTOSKU-0000003J,SKU updated,
updated,48588076974345,AUTOSKU-0000003K,SKU updated,
updated,48588077007113,AUTOSKU-0000003L,SKU updated,
updated,48588077039881,AUTOSKU-0000003M,SKU updated,
updated,48588077072649,AUTOSKU-0000003N,SKU updated,
updated,48588077924617,AUTOSKU-0000003O,SKU updated,
updated,48588077957385,AUTOSKU-0000003P,SKU updated,
updated,48588077990153,AUTOSKU-0000003Q,SKU updated,
updated,48588078022921,AUTOSKU-0000003R,SKU updated,
updated,48588078186761,AUTOSKU-0000003S,SKU updated,
updated,48588078219529,AUTOSKU-0000003T,SKU updated,
updated,48588078252297,AUTOSKU-0000003U,SKU updated,
updated,48588078285065,AUTOSKU-0000003V,SKU updated,
updated,48588078448905,AUTOSKU-0000003W,SKU updated,
updated,48588078481673,AUTOSKU-0000003X,SKU updated,
updated,48588078514441,AUTOSKU-0000003Y,SKU updated,
