Produktnavn,Produkt ID,Variantnavn,Variant ID,SKU,Option1,Option2,Option3,Status,Pris
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Som ny / Space Grey,48559223832841,b39c034cb8c6d075,128GB,Som ny,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Som ny / Guld,48559223865609,bfe658a2ad034146,128GB,Som ny,Guld,continue,3149.00
"Brugt iPad 10.2"" 7. Gen (2019) Cellular",9318757007625,128GB / Som ny / Sølv,48559223898377,c8481eaa55247206,128GB,Som ny,Sølv,continue,3149.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugbar / Space Grey,48559222358281,1ee2c7f19ff5bfe3,32GB,Brugbar,Space Grey,continue,1549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugbar / Guld,48559222391049,1840740a6b78f888,32GB,Brugbar,Guld,continue,1549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugbar / Sølv,48559222423817,39a9b64aefbef878,32GB,Brugbar,Sølv,continue,1549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugt / Space Grey,48559222456585,06fcc02fb13b93cc,32GB,Brugt,Space Grey,continue,1649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugt / Guld,48559222489353,0ca8ff1124aaf8f9,32GB,Brugt,Guld,continue,1649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Brugt / Sølv,48559222522121,51c48c8d46462827,32GB,Brugt,Sølv,continue,1649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Rigtig god / Space Grey,48559222554889,7c8884b836769c3d,32GB,Rigtig god,Space Grey,continue,1749.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Rigtig god / Guld,48559222587657,2a159b19cd56d093,32GB,Rigtig god,Guld,continue,1749.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Rigtig god / Sølv,48559222620425,9fbdc65662b2d6cf,32GB,Rigtig god,Sølv,continue,1749.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Som ny / Space Grey,48559222653193,296bbe2f758c4bdb,32GB,Som ny,Space Grey,continue,1849.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Som ny / Guld,48559222685961,22be81c600a52ed8,32GB,Som ny,Guld,continue,1849.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,32GB / Som ny / Sølv,48559222718729,d03362d1d12261f2,32GB,Som ny,Sølv,continue,1849.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugbar / Space Grey,48559222751497,40dfedda1f0923f1,128GB,Brugbar,Space Grey,continue,2349.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugbar / Guld,48559222784265,2c19dbb54f431855,128GB,Brugbar,Guld,continue,2349.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugbar / Sølv,48559222817033,690c7f1025589d10,128GB,Brugbar,Sølv,continue,2349.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugt / Space Grey,48559222849801,7d469311c9d9607d,128GB,Brugt,Space Grey,continue,2449.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugt / Guld,48559222882569,29133498c7d6f5d2,128GB,Brugt,Guld,continue,2449.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Brugt / Sølv,48559222915337,c5ee495cf6d05470,128GB,Brugt,Sølv,continue,2449.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Rigtig god / Space Grey,48559222948105,8e7a7fdc3173307b,128GB,Rigtig god,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Rigtig god / Guld,48559222980873,79248a0cbfc91294,128GB,Rigtig god,Guld,continue,2549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Rigtig god / Sølv,48559223013641,f998287f06645b02,128GB,Rigtig god,Sølv,continue,2549.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Som ny / Space Grey,48559223046409,33af0c589bb2544a,128GB,Som ny,Space Grey,continue,2649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Som ny / Guld,48559223079177,676f3e0725e735d0,128GB,Som ny,Guld,continue,2649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",9318756974857,128GB / Som ny / Sølv,48559223111945,26d074b936e0f77d,128GB,Som ny,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugbar / Space Grey,48559221571849,431f42710ed319cb,32GB,Brugbar,Space Grey,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugbar / Guld,48559221604617,df8e03f4d8ef94b2,32GB,Brugbar,Guld,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugbar / Sølv,48559221637385,dfef6d31cb00d48e,32GB,Brugbar,Sølv,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugt / Space Grey,48559221670153,a6a6cf16433a8ce3,32GB,Brugt,Space Grey,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugt / Guld,48559221702921,b2064be6d122be6b,32GB,Brugt,Guld,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Brugt / Sølv,48559221735689,aaaf9fb467d2dc95,32GB,Brugt,Sølv,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Rigtig god / Space Grey,48559221768457,b1fa181bffb92d27,32GB,Rigtig god,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Rigtig god / Guld,48559221801225,22d902294f53b1ae,32GB,Rigtig god,Guld,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Rigtig god / Sølv,48559221833993,2d92ca0f99663e18,32GB,Rigtig god,Sølv,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Som ny / Space Grey,48559221866761,08c20f6ad7cdcdd8,32GB,Som ny,Space Grey,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Som ny / Guld,48559221899529,eb07e0799b368b49,32GB,Som ny,Guld,continue,2649.00
