status,variant_id,sku,message,error
updated,53486435795319,AUTOSKU-00000033,SKU updated,
updated,53486435828087,AUTOSKU-00000034,SKU updated,
updated,53486435860855,AUTOSKU-00000035,SKU updated,
updated,53486435893623,AUTOSKU-00000036,SKU updated,
updated,53486435926391,AUTOSKU-00000037,SKU updated,
updated,53486435959159,AUTOSKU-00000038,SKU updated,
updated,53486435991927,AUTOSKU-00000039,SKU updated,
updated,53486436024695,AUTOSKU-0000003A,SKU updated,
updated,53486436057463,AUTOSKU-0000003B,SKU updated,
updated,53486436090231,AUTOSKU-0000003C,SKU updated,
updated,53486436122999,AUTOSKU-0000003D,SKU updated,
updated,53486436155767,AUTOSKU-0000003E,SKU updated,
updated,53486436188535,AUTOSKU-0000003F,SKU updated,
updated,53486436221303,AUTOSKU-0000003G,SKU updated,
updated,53486436254071,AUTOSKU-0000003H,SKU updated,
updated,53486436286839,AUTOSKU-0000003I,SKU updated,
updated,53486436319607,AUTOSKU-0000003J,SKU updated,
updated,53486436352375,AUTOSKU-0000003K,SKU updated,
updated,53486436385143,AUTOSKU-0000003L,SKU updated,
updated,53486436417911,AUTOSKU-0000003M,SKU updated,
updated,53486436450679,AUTOSKU-0000003N,SKU updated,
updated,53485719847287,AUTOSKU-0000003O,SKU updated,
updated,53485719880055,AUTOSKU-0000003P,SKU updated,
updated,53485719912823,AUTOSKU-0000003Q,SKU updated,
updated,53485719945591,AUTOSKU-0000003R,SKU updated,
updated,53485720109431,AUTOSKU-0000003S,SKU updated,
updated,53485720142199,AUTOSKU-0000003T,SKU updated,
updated,53485720174967,AUTOSKU-0000003U,SKU updated,
updated,53485720207735,AUTOSKU-0000003V,SKU updated,
updated,53485720371575,AUTOSKU-0000003W,SKU updated,
updated,53485720404343,AUTOSKU-0000003X,SKU updated,
updated,53485720437111,AUTOSKU-0000003Y,SKU updated,
updated,53485720469879,AUTOSKU-0000003Z,SKU updated,
updated,53485720633719,AUTOSKU-00000040,SKU updated,
updated,53485720666487,AUTOSKU-00000041,SKU updated,
updated,53485720699255,AUTOSKU-00000042,SKU updated,
updated,53485720732023,AUTOSKU-00000043,SKU updated,
updated,53485720895863,AUTOSKU-00000044,SKU updated,
updated,53485720928631,AUTOSKU-00000045,SKU updated,
updated,53485720961399,AUTOSKU-00000046,SKU updated,
updated,53485720994167,AUTOSKU-00000047,SKU updated,
updated,53485903348087,AUTOSKU-00000048,SKU updated,
updated,53485903380855,AUTOSKU-00000049,SKU updated,
updated,53485903413623,AUTOSKU-0000004A,SKU updated,
updated,53485903446391,AUTOSKU-0000004B,SKU updated,
updated,53485903610231,AUTOSKU-0000004C,SKU updated,
updated,53485903642999,AUTOSKU-0000004D,SKU updated,
updated,53485903675767,AUTOSKU-0000004E,SKU updated,
updated,53485903708535,AUTOSKU-0000004F,SKU updated,
updated,53485903872375,AUTOSKU-0000004G,SKU updated,
updated,53485903905143,AUTOSKU-0000004H,SKU updated,
updated,53485903937911,AUTOSKU-0000004I,SKU updated,
updated,53485903970679,AUTOSKU-0000004J,SKU updated,
updated,53485904134519,AUTOSKU-0000004K,SKU updated,
updated,53485904167287,AUTOSKU-0000004L,SKU updated,
updated,53485904200055,AUTOSKU-0000004M,SKU updated,
updated,53485904232823,AUTOSKU-0000004N,SKU updated,
updated,53485904396663,AUTOSKU-0000004O,SKU updated,
updated,53485904429431,AUTOSKU-0000004P,SKU updated,
updated,53485904462199,AUTOSKU-0000004Q,SKU updated,
updated,53485904494967,AUTOSKU-0000004R,SKU updated,
updated,53481183281527,AUTOSKU-0000004S,SKU updated,
updated,53470961074551,AUTOSKU-0000004T,SKU updated,
updated,53470961140087,AUTOSKU-0000004U,SKU updated,
updated,53470961172855,AUTOSKU-0000004V,SKU updated,
updated,53470961205623,AUTOSKU-0000004W,SKU updated,
updated,53470961238391,AUTOSKU-0000004X,SKU updated,
updated,53470961303927,AUTOSKU-0000004Y,SKU updated,
updated,53481183445367,AUTOSKU-0000004Z,SKU updated,
updated,53470961369463,AUTOSKU-00000050,SKU updated,
updated,53470961402231,AUTOSKU-00000051,SKU updated,
updated,53481183478135,AUTOSKU-00000052,SKU updated,
updated,53470961434999,AUTOSKU-00000053,SKU updated,
updated,53470961467767,AUTOSKU-00000054,SKU updated,
updated,53470961533303,AUTOSKU-00000055,SKU updated,
updated,53481183543671,AUTOSKU-00000056,SKU updated,
updated,53470961566071,AUTOSKU-00000057,SKU updated,
updated,53481183576439,AUTOSKU-00000058,SKU updated,
updated,53470961631607,AUTOSKU-00000059,SKU updated,
updated,55025146495351,AUTOSKU-0000005A,SKU updated,
updated,55025146528119,AUTOSKU-0000005B,SKU updated,
updated,55025146560887,AUTOSKU-0000005C,SKU updated,
updated,55025146593655,AUTOSKU-0000005D,SKU updated,
updated,55025146626423,AUTOSKU-0000005E,SKU updated,
updated,55025146659191,AUTOSKU-0000005F,SKU updated,
updated,55025146691959,AUTOSKU-0000005G,SKU updated,
updated,55025146724727,AUTOSKU-0000005H,SKU updated,
updated,55025146757495,AUTOSKU-0000005I,SKU updated,
updated,55025146790263,AUTOSKU-0000005J,SKU updated,
updated,55025146823031,AUTOSKU-0000005K,SKU updated,
updated,55025146855799,AUTOSKU-0000005L,SKU updated,
updated,55025146888567,AUTOSKU-0000005M,SKU updated,
updated,55025146921335,AUTOSKU-0000005N,SKU updated,
updated,55025146954103,AUTOSKU-0000005O,SKU updated,
updated,55025146986871,AUTOSKU-0000005P,SKU updated,
updated,55025147019639,AUTOSKU-0000005Q,SKU updated,
